id,peso,grasa,visibilidad,tipo,precio minorista maximo,id tienda unica,inaguracion,tamanho,ubicacion,tipo de tienda,ventas
FDC46,17.7,LF,0.195068226,Snack,185.4266,OUT010,1998,,Sede 3,Abarrotes,184.4266
FDH19,19.35,Bajo,0.033082215,Carne,172.5738,OUT035,2004,Pequeño,Sede 2,Supermercado Tipo1,4865.6664
FDZ03,13.65,Regular,0.078946455,Diariamente,186.024,OUT045,2002,,Sede 2,Supermercado Tipo1,1118.544
DRH37,17.6,Bajo,0.041700756,Bebidas Suaves,164.8526,OUT045,2002,,Sede 2,Supermercado Tipo1,2302.3364
NCI17,8.645,Bajo,0.143422643,Higiene,95.841,OUT046,1997,Pequeño,Sede 1,Supermercado Tipo1,2027.361
FDJ58,15.6,Regular,0.105296072,Snack,170.1764,OUT046,1997,Pequeño,Sede 1,Supermercado Tipo1,3435.528
FDL12,15.85,Regular,0.121531501,Productos para hornear,59.222,OUT013,1987,Grande,Sede 3,Supermercado Tipo1,599.22
FDH35,18.25,Bajo,0,Starchy Foods,164.7526,OUT045,2002,,Sede 2,Supermercado Tipo1,4604.6728
FDG02,7.855,Bajo,0.011324862,Enlatados,189.6188,OUT017,2007,,Sede 2,Supermercado Tipo1,2285.0256
NCZ18,7.825,Bajo,0.186357148,Productos de casa,254.3698,OUT049,1999,Mediano,Sede 1,Supermercado Tipo1,5580.7356
FDC29,8.39,Regular,0.024205661,Congelados,114.0176,OUT046,1997,Pequeño,Sede 1,Supermercado Tipo1,2290.352
FDQ10,12.85,Bajo,0.033230816,Snack,172.3422,OUT049,1999,Mediano,Sede 1,Supermercado Tipo1,1207.0954
FDN48,,Bajo,0.113720344,Productos para hornear,89.9804,OUT019,1985,Pequeño,Sede 1,Abarrotes,643.1628
FDL04,19,Bajo,0.112556507,Congelados,104.9622,OUT017,2007,,Sede 2,Supermercado Tipo1,1587.933
FDV25,5.905,Bajo,0,Enlatados,222.5456,OUT045,2002,,Sede 2,Supermercado Tipo1,5305.0944
FDD58,7.76,Bajo,0.059352241,Snack,101.87,OUT046,1997,Pequeño,Sede 1,Supermercado Tipo1,1697.79
FDN04,11.8,reg,0.014087057,Congelados,180.3344,OUT046,1997,Pequeño,Sede 1,Supermercado Tipo1,1427.4752
FDV45,16.75,Bajo,0.045230944,Snack,187.9556,OUT018,2009,Mediano,Sede 3,Supermercado Tipo2,4693.89
NCL18,,Bajo,0.293417759,Productos de casa,194.6136,OUT019,1985,Pequeño,Sede 1,Abarrotes,583.2408
FDR12,,Regular,0.031382044,Productos para hornear,171.3764,OUT027,1985,Mediano,Sede 3,Supermercado Tipo3,3091.9752
FDG20,15.5,Regular,0.12639886,Frutas y Vegetales,177.0028,OUT017,2007,,Sede 2,Supermercado Tipo1,2479.4392
FDZ55,6.055,Bajo,0.025403898,Frutas y Vegetales,160.992,OUT035,2004,Pequeño,Sede 2,Supermercado Tipo1,2716.464
FDQ49,,Regular,0.039057677,Desayuno,155.963,OUT027,1985,Mediano,Sede 3,Supermercado Tipo3,3285.723
FDN33,6.305,Regular,0.123115764,Snack,95.6436,OUT046,1997,Pequeño,Sede 1,Supermercado Tipo1,661.8052
FDN27,20.85,Bajo,0.039624006,Carne,117.2808,OUT049,1999,Mediano,Sede 1,Supermercado Tipo1,1523.3504
FDW20,20.75,Bajo,0.040421193,Frutas y Vegetales,122.173,OUT010,1998,,Sede 3,Abarrotes,369.519
DRG27,8.895,Bajo,0.105274111,Diariamente,39.9138,OUT049,1999,Mediano,Sede 1,Supermercado Tipo1,690.4346
DRI25,19.6,Bajo,0.033970195,Bebidas Suaves,55.1614,OUT045,2002,,Sede 2,Supermercado Tipo1,1381.535
FDA44,19.7,Bajo,0.053212652,Frutas y Vegetales,57.893,OUT035,2004,Pequeño,Sede 2,Supermercado Tipo1,622.523
NCR17,9.8,Bajo,0.024378706,Higiene,114.5492,OUT035,2004,Pequeño,Sede 2,Supermercado Tipo1,1274.3412
FDU04,,Bajo,0.009714595,Congelados,120.0414,OUT019,1985,Pequeño,Sede 1,Abarrotes,487.3656
FDF41,12.15,Bajo,0.131383762,Congelados,246.046,OUT049,1999,Mediano,Sede 1,Supermercado Tipo1,1231.73
FDB56,8.75,Regular,0.07461309,Frutas y Vegetales,187.4556,OUT035,2004,Pequeño,Sede 2,Supermercado Tipo1,3755.112
NCP18,,Bajo,0.028459761,Productos de casa,149.9708,OUT027,1985,Mediano,Sede 3,Supermercado Tipo3,4363.6532
FDB56,8.75,Regular,0.074627201,Frutas y Vegetales,187.8556,OUT046,1997,Pequeño,Sede 1,Supermercado Tipo1,1314.2892
FDT28,13.3,Bajo,0.063695084,Congelados,151.0708,OUT045,2002,,Sede 2,Supermercado Tipo1,1805.6496
FDD10,,Regular,0.045797829,Snack,178.5344,OUT027,1985,Mediano,Sede 3,Supermercado Tipo3,2854.9504
FDW57,8.31,Regular,0.115857223,Snack,179.1028,OUT049,1999,Mediano,Sede 1,Supermercado Tipo1,3896.2616
DRB48,16.75,Regular,0.024832806,Bebidas Suaves,38.7822,OUT013,1987,Grande,Sede 3,Supermercado Tipo1,667.7974
FDP09,19.75,Bajo,0.034027909,Snack,212.0902,OUT018,2009,Mediano,Sede 3,Supermercado Tipo2,3185.853
FDH14,17.1,Regular,0.0467696,Enlatados,141.1838,OUT013,1987,Grande,Sede 3,Supermercado Tipo1,2247.7408
FDA47,10.5,Regular,0.116576702,Productos para hornear,163.121,OUT013,1987,Grande,Sede 3,Supermercado Tipo1,1794.331
FDG12,6.635,Regular,0,Productos para hornear,121.3098,OUT045,2002,,Sede 2,Supermercado Tipo1,2530.7058
DRE60,,Bajo,0.278974075,Bebidas Suaves,225.372,OUT019,1985,Pequeño,Sede 1,Abarrotes,679.116
DRK49,14.15,Bajo,0.035913805,Bebidas Suaves,41.4138,OUT013,1987,Grande,Sede 3,Supermercado Tipo1,812.276
FDD03,13.3,Bajo,0.079806266,Diariamente,232.53,OUT046,1997,Pequeño,Sede 1,Supermercado Tipo1,699.09
FDS52,8.89,Bajo,0.005505481,Congelados,102.4016,OUT017,2007,,Sede 2,Supermercado Tipo1,2732.4432
FDW39,,Regular,0.064625342,Carne,176.937,OUT019,1985,Pequeño,Sede 1,Abarrotes,176.437
FDX34,,Bajo,0.071636937,Snack,121.7098,OUT027,1985,Mediano,Sede 3,Supermercado Tipo3,4097.3332
FDV11,9.1,Regular,0,Panes,173.2054,OUT045,2002,,Sede 2,Supermercado Tipo1,3151.8972
FDD17,7.5,Bajo,0.032677678,Congelados,239.0906,OUT049,1999,Mediano,Sede 1,Supermercado Tipo1,5942.265
FDZ16,16.85,Regular,0.160760054,Congelados,192.4478,OUT017,2007,,Sede 2,Supermercado Tipo1,4843.695
FDZ46,7.485,Bajo,0.06911065,Snack,109.0228,OUT035,2004,Pequeño,Sede 2,Supermercado Tipo1,2542.0244
DRA12,11.6,Bajo,0.041177505,Bebidas Suaves,140.3154,OUT017,2007,,Sede 2,Supermercado Tipo1,2552.6772
FDY58,11.65,Bajo,0.040081193,Snack,227.0694,OUT018,2009,Mediano,Sede 3,Supermercado Tipo2,1141.847
NCF19,13,Bajo,0.035307322,Productos de casa,47.5034,OUT017,2007,,Sede 2,Supermercado Tipo1,680.4476
DRJ13,12.65,LF,0.063017847,Bebidas Suaves,159.0578,OUT045,2002,,Sede 2,Supermercado Tipo1,2085.9514
FDB14,20.25,Regular,0.171938781,Enlatados,92.512,OUT010,1998,,Sede 3,Abarrotes,186.424
FDJ38,8.6,Regular,0.040197932,Enlatados,190.153,OUT035,2004,Pequeño,Sede 2,Supermercado Tipo1,3036.048
FDW11,12.6,Bajo,0.049058014,Panes,62.7194,OUT017,2007,,Sede 2,Supermercado Tipo1,866.8716
FDL40,17.7,Bajo,0.01161096,Congelados,95.041,OUT035,2004,Pequeño,Sede 2,Supermercado Tipo1,868.869
DRI49,14.15,Bajo,0.183507295,Bebidas Suaves,82.4276,OUT046,1997,Pequeño,Sede 1,Supermercado Tipo1,1137.1864
FDV38,19.25,Bajo,0.102349519,Diariamente,52.7956,OUT017,2007,,Sede 2,Supermercado Tipo1,928.1252
DRG23,8.88,Bajo,0.086708987,Bebidas Fuertes,151.7682,OUT013,1987,Grande,Sede 3,Supermercado Tipo1,762.341
NCP30,20.5,Bajo,0.032835147,Productos de casa,40.2822,OUT045,2002,,Sede 2,Supermercado Tipo1,707.0796
FDY25,,Bajo,0.033809913,Enlatados,180.5976,OUT027,1985,Mediano,Sede 3,Supermercado Tipo3,7968.2944
NCH54,13.5,Bajo,0.07266912,Productos de casa,160.292,OUT046,1997,Pequeño,Sede 1,Supermercado Tipo1,1438.128
NCR53,,Bajo,0.144338493,Higiene,224.4404,OUT027,1985,Mediano,Sede 3,Supermercado Tipo3,6976.2524
FDS52,8.89,Bajo,0.009163216,Congelados,101.7016,OUT010,1998,,Sede 3,Abarrotes,101.2016
FDG02,7.855,Bajo,0.011307038,Enlatados,188.5188,OUT018,2009,Mediano,Sede 3,Supermercado Tipo2,952.094
NCO26,7.235,Bajo,0.076855628,Productos de casa,116.0492,OUT046,1997,Pequeño,Sede 1,Supermercado Tipo1,1969.4364
FDH35,,Bajo,0.059956876,Starchy Foods,165.4526,OUT027,1985,Mediano,Sede 3,Supermercado Tipo3,5262.4832
FDB51,6.92,Bajo,0.038532062,Diariamente,60.5852,OUT045,2002,,Sede 2,Supermercado Tipo1,1314.2892
FDX44,9.3,Bajo,0.043209581,Frutas y Vegetales,90.8172,OUT017,2007,,Sede 2,Supermercado Tipo1,535.3032
NCN07,18.5,Bajo,0.056816465,Otros,132.1284,OUT010,1998,,Sede 3,Abarrotes,263.6568
NCC31,8.02,Bajo,0.019866705,Productos de casa,154.5972,OUT035,2004,Pequeño,Sede 2,Supermercado Tipo1,1402.1748
NCX54,9.195,Bajo,0.048331717,Productos de casa,105.1622,OUT017,2007,,Sede 2,Supermercado Tipo1,1693.7952
NCO55,12.8,Bajo,0.091221855,Otros,105.5938,OUT045,2002,,Sede 2,Supermercado Tipo1,2143.876
NCC30,16.6,Bajo,0.027622076,Productos de casa,177.6344,OUT049,1999,Mediano,Sede 1,Supermercado Tipo1,2676.516
FDI16,14,Regular,0,Congelados,53.064,OUT035,2004,Pequeño,Sede 2,Supermercado Tipo1,905.488
FDP16,18.6,Bajo,0.039355947,Congelados,246.3802,OUT049,1999,Mediano,Sede 1,Supermercado Tipo1,7370.406
FDB11,16,Bajo,0.060836524,Starchy Foods,226.8404,OUT035,2004,Pequeño,Sede 2,Supermercado Tipo1,6301.1312
NCB06,17.6,Bajo,0.082316506,Higiene,160.692,OUT035,2004,Pequeño,Sede 2,Supermercado Tipo1,1597.92
FDA45,21.25,Bajo,0.155350299,Snack,178.237,OUT035,2004,Pequeño,Sede 2,Supermercado Tipo1,529.311
NCO26,7.235,Bajo,0.076841095,Productos de casa,117.5492,OUT035,2004,Pequeño,Sede 2,Supermercado Tipo1,1969.4364
DRJ25,14.6,Bajo,0.151419185,Bebidas Suaves,50.3692,OUT017,2007,,Sede 2,Supermercado Tipo1,1034.6532
FDR28,13.85,reg,0.026001976,Congelados,161.521,OUT018,2009,Mediano,Sede 3,Supermercado Tipo2,1794.331
FDI04,13.65,Regular,0.073209447,Congelados,197.6426,OUT018,2009,Mediano,Sede 3,Supermercado Tipo2,2768.3964
DRK12,,Bajo,0.041683481,Bebidas Suaves,31.29,OUT027,1985,Mediano,Sede 3,Supermercado Tipo3,898.83
FDX20,7.365,Bajo,0.042560252,Frutas y Vegetales,226.172,OUT046,1997,Pequeño,Sede 1,Supermercado Tipo1,3169.208
NCI18,18.35,Bajo,0.014081156,Productos de casa,223.5746,OUT018,2009,Mediano,Sede 3,Supermercado Tipo2,3589.9936
FDB36,5.465,Regular,0,Productos para hornear,132.5626,OUT018,2009,Mediano,Sede 3,Supermercado Tipo2,262.3252
FDN13,18.6,Bajo,0.152918384,Desayuno,99.8358,OUT017,2007,,Sede 2,Supermercado Tipo1,1910.1802
DRD24,13.85,Bajo,0.030969274,Bebidas Suaves,140.9154,OUT017,2007,,Sede 2,Supermercado Tipo1,1701.7848
FDQ28,14,Regular,0.060376776,Congelados,154.5656,OUT013,1987,Grande,Sede 3,Supermercado Tipo1,2471.4496
FDM22,14,Regular,0.04192285,Snack,54.764,OUT013,1987,Grande,Sede 3,Supermercado Tipo1,1331.6
FDR07,,Bajo,0.077367431,Frutas y Vegetales,97.0094,OUT027,1985,Mediano,Sede 3,Supermercado Tipo3,1808.9786
FDV25,5.905,Bajo,0.045838211,Enlatados,222.5456,OUT018,2009,Mediano,Sede 3,Supermercado Tipo2,3315.684
DRF49,7.27,Bajo,0.071077939,Bebidas Suaves,114.2518,OUT046,1997,Pequeño,Sede 1,Supermercado Tipo1,2618.5914
FDW51,6.155,Regular,0.094659871,Carne,214.556,OUT046,1997,Pequeño,Sede 1,Supermercado Tipo1,2769.728
DRL01,19.5,Regular,0.077608838,Bebidas Suaves,233.4958,OUT017,2007,,Sede 2,Supermercado Tipo1,5375.0034
FDP25,15.2,Bajo,0.021327477,Enlatados,216.8824,OUT017,2007,,Sede 2,Supermercado Tipo1,2838.9712
FDL50,12.15,Regular,0.042485444,Enlatados,125.0046,OUT018,2009,Mediano,Sede 3,Supermercado Tipo2,1743.0644
NCB30,,Bajo,0.025578526,Productos de casa,198.8084,OUT027,1985,Mediano,Sede 3,Supermercado Tipo3,5555.4352
FDW11,12.6,Bajo,0.0489808,Panes,61.9194,OUT018,2009,Mediano,Sede 3,Supermercado Tipo2,619.194
NCM43,14.5,Bajo,0.019471688,Otros,164.821,OUT035,2004,Pequeño,Sede 2,Supermercado Tipo1,2120.573
FDK44,16.6,Bajo,0.122918852,Frutas y Vegetales,173.0738,OUT017,2007,,Sede 2,Supermercado Tipo1,3823.0236
FDM15,11.8,Regular,0.057373797,Carne,151.4366,OUT013,1987,Grande,Sede 3,Supermercado Tipo1,1360.2294
FDS31,13.1,Regular,0.044155597,Frutas y Vegetales,178.8318,OUT013,1987,Grande,Sede 3,Supermercado Tipo1,3969.4996
FDI32,17.7,Bajo,0.291865402,Frutas y Vegetales,115.1834,OUT010,1998,,Sede 3,Abarrotes,345.5502
FDR47,17.85,LF,0,Panes,196.5794,OUT010,1998,,Sede 3,Abarrotes,585.2382
FDB35,12.3,Regular,0.064750025,Starchy Foods,92.6804,OUT045,2002,,Sede 2,Supermercado Tipo1,1010.6844
NCU05,11.8,Bajo,0.098312421,Higiene,81.4618,OUT010,1998,,Sede 3,Abarrotes,161.1236
DRY23,,Regular,0.191013663,Bebidas Suaves,42.1112,OUT019,1985,Pequeño,Sede 1,Abarrotes,42.6112
FDO24,11.1,Bajo,0.176573035,Productos para hornear,157.4604,OUT045,2002,,Sede 2,Supermercado Tipo1,3010.7476
FDQ28,,Regular,0.060134441,Congelados,153.0656,OUT027,1985,Mediano,Sede 3,Supermercado Tipo3,6024.1584
FDV39,11.3,Bajo,0.007294652,Carne,198.1426,OUT045,2002,,Sede 2,Supermercado Tipo1,988.713
NCO17,,Bajo,0.128478462,Higiene,117.944,OUT019,1985,Pequeño,Sede 1,Abarrotes,239.688
FDU50,5.75,Regular,0.075107656,Diariamente,112.8176,OUT013,1987,Grande,Sede 3,Supermercado Tipo1,1374.2112
FDT12,,Regular,0.049381406,Productos para hornear,226.8062,OUT027,1985,Mediano,Sede 3,Supermercado Tipo3,4739.8302
FDK58,11.35,Regular,0.045165796,Snack,100.0016,OUT018,2009,Mediano,Sede 3,Supermercado Tipo2,1012.016
FDO08,,Regular,0.09415375,Frutas y Vegetales,165.7526,OUT019,1985,Pequeño,Sede 1,Abarrotes,657.8104
NCW29,14,Bajo,0.028907832,Higiene,130.431,OUT049,1999,Mediano,Sede 1,Supermercado Tipo1,778.986
FDE04,19.75,Regular,0.018059621,Congelados,179.766,OUT045,2002,,Sede 2,Supermercado Tipo1,2336.958
NCB19,6.525,Bajo,0.090436094,Productos de casa,85.0882,OUT049,1999,Mediano,Sede 1,Supermercado Tipo1,2233.0932
FDV15,10.3,Bajo,0.146399712,Carne,103.9648,OUT049,1999,Mediano,Sede 1,Supermercado Tipo1,1661.8368
FDL58,5.78,Regular,0.074264356,Snack,264.7568,OUT049,1999,Mediano,Sede 1,Supermercado Tipo1,4745.8224
FDA08,11.85,Regular,0.050186726,Frutas y Vegetales,164.1526,OUT045,2002,,Sede 2,Supermercado Tipo1,3124.5994
FDT43,16.35,Bajo,0.020631654,Frutas y Vegetales,50.1324,OUT018,2009,Mediano,Sede 3,Supermercado Tipo2,467.3916
NCX06,,Bajo,0.01561108,Productos de casa,182.5976,OUT027,1985,Mediano,Sede 3,Supermercado Tipo3,5070.7328
FDT20,10.5,Bajo,0.041395445,Frutas y Vegetales,37.6164,OUT046,1997,Pequeño,Sede 1,Supermercado Tipo1,540.6296
FDB41,19,Regular,0.097313129,Congelados,48.0718,OUT046,1997,Pequeño,Sede 1,Supermercado Tipo1,992.7078
NCN55,14.6,Bajo,0.059582996,Otros,238.8538,OUT049,1999,Mediano,Sede 1,Supermercado Tipo1,6008.845
FDE40,,Regular,0.098663652,Diariamente,62.9194,OUT027,1985,Mediano,Sede 3,Supermercado Tipo3,2105.2596
FDX49,,reg,0.101338651,Enlatados,232.63,OUT027,1985,Mediano,Sede 3,Supermercado Tipo3,5359.69
NCM53,18.75,Bajo,0.052146456,Higiene,104.628,OUT045,2002,,Sede 2,Supermercado Tipo1,745.696
FDE36,5.26,Regular,0.041764487,Productos para hornear,161.8868,OUT035,2004,Pequeño,Sede 2,Supermercado Tipo1,3275.736
FDN57,18.25,Bajo,0.054344186,Snack,140.2154,OUT045,2002,,Sede 2,Supermercado Tipo1,1701.7848
FDI24,,Bajo,0.078362484,Productos para hornear,177.937,OUT027,1985,Mediano,Sede 3,Supermercado Tipo3,6704.606
FDI19,15.1,Bajo,0.052339069,Carne,242.7512,OUT046,1997,Pequeño,Sede 1,Supermercado Tipo1,4119.9704
FDF24,15.5,Regular,0.042464962,Productos para hornear,81.5934,OUT010,1998,,Sede 3,Abarrotes,327.5736
FDG52,13.65,Bajo,0.065732883,Congelados,45.7402,OUT049,1999,Mediano,Sede 1,Supermercado Tipo1,780.9834
DRF36,16.1,LF,0.023625114,Bebidas Suaves,189.3846,OUT045,2002,,Sede 2,Supermercado Tipo1,3630.6074
FDS45,,Regular,0.051643608,Snack,107.3622,OUT019,1985,Pequeño,Sede 1,Abarrotes,317.5866
FDX40,12.85,Bajo,0.165694219,Congelados,39.7164,OUT010,1998,,Sede 3,Abarrotes,231.6984
DRK12,9.5,LF,0.041878397,Bebidas Suaves,32.99,OUT035,2004,Pequeño,Sede 2,Supermercado Tipo1,133.16
DRC27,13.8,Bajo,0.058091482,Diariamente,245.1802,OUT035,2004,Pequeño,Sede 2,Supermercado Tipo1,5650.6446
FDL58,5.78,Regular,0,Snack,263.7568,OUT017,2007,,Sede 2,Supermercado Tipo1,2636.568
NCD30,19.7,Bajo,0.026903714,Productos de casa,96.0726,OUT045,2002,,Sede 2,Supermercado Tipo1,1272.3438
NCZ54,14.65,Bajo,0,Productos de casa,161.5552,OUT010,1998,,Sede 3,Abarrotes,324.9104
FDE10,6.67,Regular,0.150554711,Snack,130.0626,OUT010,1998,,Sede 3,Abarrotes,131.1626
FDR44,6.11,Regular,0,Frutas y Vegetales,131.2968,OUT010,1998,,Sede 3,Abarrotes,260.9936
